true_height,true_weight,predicted_height,predicted_weight,height_relative_error,weight_relative_error
68.65,6.7,89.32795,11.016401,0.3012082960513587,0.644238998640829
61.3,6.8,73.45632,8.654184,0.1983086740017715,0.2726741678574506
72.55,8.8,88.40542,11.84218,0.2185447056650047,0.3457023013721811
93.75,11.9,91.69112,12.1706505,0.02196142578125,0.0227437379981289
76.55,9.3,66.41447,7.6752176,0.1324040906869998,0.1747077818839781
80.6,9.2,91.926765,12.2211,0.1405305886091133,0.3283804188603941
90.7,12.6,91.873825,12.9300785,0.0129418420423614,0.0261967068626767
85.0,10.8,74.00998,10.020414,0.1292943617876838,0.0721838562576859
89.75,11.3,87.77377,11.846524,0.0220192401854108,0.0483649768660553
99.8,13.0,91.829926,12.956491,0.0798604655600262,0.0033468099740835
99.05,15.0,100.285286,13.757595,0.0124713372004748,0.0828269958496093
95.5,11.3,85.54172,10.908644,0.1042752091173102,0.0346332988907806
94.9,12.6,93.98462,12.504073,0.0096457414054268,0.0076132426186213
86.35,11.3,81.9051,10.8613,0.0514754144594581,0.0388229673942634
71.45,7.6,63.579395,7.01979,0.110155419255571,0.0763433983451441
74.75,9.0,67.90352,7.8925614,0.0915917233878553,0.1230487293667263
86.65,11.6,86.70341,11.512173,0.0006163564639082,0.0075713190539129
92.0,13.3,86.788025,11.566422,0.056651903235394,0.1303441757546332
89.45,11.8,98.21006,13.502435,0.0979324775810945,0.1442741297059139
87.8,11.3,94.1993,12.937705,0.0728849962794971,0.1449296495555775
91.0,12.5,87.96914,11.929031,0.033306163745922,0.045677490234375
99.65,14.8,88.586586,10.972009,0.111022719533014,0.2586480604635703
73.2,6.1,71.034454,8.002627,0.0295839570259136,0.3119061266789671
62.650000000000006,5.7,65.457565,7.2010365,0.0448134925397794,0.2633397286398368
92.65,14.6,81.84106,10.408527,0.1166642544659421,0.2870871661460563
93.05,13.6,95.65147,13.322491,0.0279577256273928,0.0204050961662741
71.1,8.2,77.174904,9.505979,0.0854416859300831,0.1592656810109209
95.25,12.1,76.89679,10.000964,0.1926846241387795,0.173474035972406
92.1,12.2,87.25266,11.5517645,0.0526312414908641,0.0531340583426052
82.0,10.9,79.55052,10.285768,0.0298716847489519,0.0563516004369893
79.2,9.2,81.75348,10.025279,0.0322408965139677,0.0897042440331501
79.0,9.4,77.392586,9.863951,0.0203470157671578,0.049356460571289
